Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster,PCA1,PCA2
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265.7,720822868.0,60945.0,7530769.0,71.0,16322756555.0,"48,757,673","7,743,800","281,762,094",6577639193.0,"2,166,611",33.0,284,142,19.0,"52,179",17.0,86458847.0,"2,234,137",3224599.0,2064420.0,,0.0,1,6.9072513582395825,-8.871615251385013
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,591068364.0,26203.0,197494995.0,87.0,156882014.0,"3,080,503",,,265917250.0,"578,568,464",194.0,"200,230",32,117.0,"22,062,193",126.0,10106573.0,"7,689",1612479.0,1579980.0,,0.0,1,1.8941728073548214,-0.4231548855044348
Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,256.0,1003215671.0,128.0,485454.0,,148269610.0,,,,265917250.0,,,,,,,,179867721.0,"87,209",3224599.0,4474248.0,,1.0,0,0.10678023783003075,0.7595698878541393
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,1645079292.0,32312.5,13259481.0,,148269610.0,,,,265917250.0,,,,,,,,12735768.5,,3224599.0,854584.0,,1.0,0,0.45234640405242127,1.0190471457758694
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,124893397.0,3479.0,25936342.0,82.0,359896095.0,"4,907,193","212,500","48,327,004",390081328.0,"38,798,822",36.0,"2,188",32,3.0,"347,997",26.0,130743.0,592,265670.0,191867.0,,0.0,0,-1.0097154667237258,-0.7647857086927958
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179.0,98450.0,150471020.0,83.0,265180930.0,"2,566,846","2,114,363","369,150,956",3932956380.0,"3,031,114,430",225.0,"486,952","1,215",180.0,"19,469,488",188.0,40418532.0,"27,555",6049784.0,6447136.0,,0.0,1,2.304166845027563,-0.3803587068969907
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,750154960.0,139141.0,103879363.0,79.0,118208096.0,"1,495,758","1,031,447","196,985,853",2231749390.0,"1,745,168,821",163.0,"378,114",856,113.0,"16,295,286",112.0,20228317.0,"5,331",10938075.0,7477917.0,,0.0,1,2.01140793316031,-0.1091622276469706
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,532012790.0,23557.0,67488850.0,,62123098.0,"923,733",,,265917250.0,"384,716,227",221.0,"151,990",64,42.0,"658,517",47.0,31032977.0,"23,005",1516649.0,854584.0,,0.0,0,0.06047577064353401,-0.5077125063640795
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230.0,479417905.0,7.0,1519.0,,148269610.0,,,,265917250.0,,,,,,,1.0,121250721.0,"83,632",3224599.0,3692067.0,,0.0,0,-0.6023387779688864,-0.727540707719341
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226.4,311928522.0,25766.0,180237463.0,96.0,62694868.0,"837,616",,"27,811,667",378313942.0,"243,895,569",149.0,,141,58.0,"26,516,005",146.0,21453034.0,"30,180",4482348.0,1707213.0,,1.0,1,1.4400049151529233,1.20179836832401
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157.0,88239.0,180617454.0,87.0,139180960.0,"1,504,385","396,560","49,060,857",597513595.0,"4,016,801,205",215.0,"605,841",162,133.0,"42,675,181",120.0,253538985.0,"72,429",5409388.0,10517831.0,,0.0,1,3.44235394266913,-0.49400289011369675
