Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,0.05840972360457043,0.02746993094406927,0.6433024373285865,91.0,0.001974430709302166,"550,191",,"184,500",9.003816782496767e-06,"327,130,768",0.18181818181818182,"62,312",71,60.0,"12,009,073",114.0,0.015820639967200432,"21,172","1,594,605",0.0043832389614115175,,1.0
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,0.025961671817364234,1.6937927576809267e-06,0.0010054226137555051,,0.009083557963613114,,,,0.0011401388999390325,,0.031468531468531465,,,,,2.0,0.008701528632515814,,,0.003888099277733657,,1.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,0.05176615641408995,0.023372646263239108,0.7519940704590894,92.0,0.0024518905923593313,"1,307,290","195,300","45,889,000",0.0015435982208941985,"342,107,131",0.2832167832167832,"41,344",45,138.0,"38,243,636",163.0,0.0009255723888454495,"1,219","1,313,357",0.002048927129409792,,0.0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,0.08295878752767379,0.07287373960646419,0.41231693894292665,88.0,0.006008824867023638,"1,456,177",,,0.0011401388999390325,"174,491,415",0.17715617715617718,"90,237",3,55.0,"3,001,826",109.0,0.01793647908520519,"18,364","12,038,034",0.00893249205432954,,1.0
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,6.916179784031809e-05,0.0004674868011199358,9.31755812752196e-05,12.0,0.4127061353333221,"16,785,489",3,"1,088",9.524838073447602e-08,,0.0,"1,057",,,,,0.008701528632515814,,,1.4954875449090997e-05,,0.0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,0.2162002784760502,0.17548370486677473,0.3047338566110672,79.0,0.057239178144403165,"4,294,166","11,054,500","521,725,116",0.03215349531362251,"2,042,145,659",0.10839160839160839,"92,231",228,60.0,"5,633,435",83.0,0.008315676470908693,"13,242","871,978",0.012583601825745064,,1.0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,0.09235906035453965,0.021651752821435288,0.6782429372450072,89.0,0.0064126992583695,"2,484,083","139,300","25,348,800",0.0008888861912676178,"268,893,710",0.2564102564102564,"129,968",3,99.0,"37,988,531",134.0,0.006806233514170598,"13,437","377,734",0.0055052686431130765,,0.0
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,0.293957288990367,0.17821579258491405,0.757959106829185,87.0,0.008677818139697663,"1,514,837","2,294,429","419,319,161",0.023393654842331073,"2,667,285,437",0.2400932400932401,"667,329","3,310",188.0,"21,788,568",150.0,0.030643372712952043,"12,270",,0.031728044457082105,,1.0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,0.02131778107007717,0.01100626533941066,0.1993095477491558,86.0,0.0009825019960927992,"569,377","941,900","119,740,900",0.005253756537477915,"5,839,168",0.08741258741258741,181,1,24.0,"5,054,005",33.0,0.00019341510665989395,162,"975,891",0.0011722766073053806,,0.0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,0.7711872971342403,0.6895735199215435,0.6471799655972303,87.0,0.049066372098300136,"9,101,589","2,755,903","1,633,970,617",0.06605380587543083,"7,289,707,052",0.5291375291375291,"1,777,811","4,909",330.0,"12,907,852",189.0,0.09061395979078483,"79,909",,0.06809713227546842,,0.0
