Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster
Miss You,Miss You,Oliver Tree,8/5/2022,USAT22211992,261,96.2,0.1474676250671817,0.2809697302296275,0.1469975844219119,51.0,0.0019988925715487,"615,240","1,905,732","363,515,584",0.0247668314318744,"13,558,530",0.0862470862470862,"152,103",1,49.0,"893,762",19.0,0.0087015286325158,,"16,382,616",0.0345905814167123,,1.0,3
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/2022,QZLBC2200766,260,96.2,0.0163332639022353,0.0223902464637841,0.0338346021289278,61.0,0.00390774875266,"759,332","9,009,769","496,871,104",0.0290635945252704,"147,879",0.0034965034965034,"4,180",29,,,15.0,4.869214907901339e-05,228,,0.0008900402995448,,0.0,2
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,AEA0D2036458,259,96.2,0.0005371445468091,0.000918035674663,7.248133194028393e-05,35.0,0.1875245962222191,"6,319,360","1,690","50,237",1.94123531682577e-05,,0.0314685314685314,,,,,,0.0087015286325158,,,7.718117040413132e-05,,0.0,2
Dakiti,Dakiti,Bad Bunny,1/1/2020,QMFME2004132,262,96.1,0.4619785903233389,0.4161377798780808,0.215099854632142,72.0,0.1140491416908757,"10,999,677","21,703","1,119,576",9.249720532474267e-05,"724,908,300",0.3076923076923076,"202,804",241,97.0,"3,921,489",72.0,0.1039919574537789,"46,748",,0.0277144962043689,,1.0,3
Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,0.768722693202814,0.620151729955233,0.3736424859274053,84.0,0.1733769723733514,"14,968,547","262,780","52,707,882",0.0016099750959684,"218,584,786",0.3962703962703962,"68,441",148,118.0,"875,683",67.0,0.2263526306753251,"418,888","23,612,071",0.0711945112813583,,1.0,3
Sorry,Sorry,Justin Bieber,10/23/2015,USUM71516760,264,95.7,0.488027844024006,0.3041103268850643,0.3403426256408427,78.0,0.2736980890349592,"22,464,625","2,463,600","48,687,438",0.0016137417095845,"1,959,373,484",0.4662004662004662,"237,066",402,161.0,"1,631,997",85.0,0.2870225783617064,"519,614","475,010",0.0439368326079725,,0.0,0
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,USSM12100388,263,95.7,0.1814947339801796,0.3610353138852049,0.1122085386607362,71.0,0.0295310258005515,"5,431,785","1,378,861","181,697,356",0.0060521017703797,"326,289,844",0.1363636363636363,"147,120",117,33.0,"263,058",33.0,0.0723769404112978,"53,956","69,864,802",0.0182568136746543,,1.0,3
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,KRA402200017,266,95.6,0.1720130664007266,0.0817255005581047,0.0869773658086852,68.0,0.05321337457047,"16,834,955","1,833,169","587,311,863",0.0249890982810903,"3,169,887,749",0.0489510489510489,"47,080",406,20.0,"202,141",40.0,0.0043737987493196,"10,275",,0.007040948268861,,0.0,2
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401040,267,95.0,0.0584914455813981,0.0119886651388655,0.5121450066672724,84.0,0.0010259635913993,"251,549","148,000","52,156,902",0.0017652909172443,"45,283,900",0.0827505827505827,"6,243",2,37.0,"8,927,842",76.0,0.0039433685415939,"11,920",,0.0008554398043241,,1.0,1
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,USSM12000925,268,94.8,0.3868731086609689,0.4809304342376493,0.2370631505049452,74.0,0.069558225026573,"15,066,754","7,578,918","610,598,789",0.0214680239843277,"348,834,936",0.2540792540792541,"200,884",305,119.0,"6,994,461",29.0,0.1468048877177469,"150,801",,0.0496174559239055,,0.0,0
